0,,,These statistics will no longer be updated. See more info on the Info-tab.,,,,,,,,,,,,,,,,   Beräkningen är standardiserad för att månader med olika antal dagar ska kunna jämföras. 
1,,,,,,,,,,,,,,,,,,,2 Statistiken för år 2023 är preliminär.
2,,,,,,,,,,,,,,,,,,,
3,"Antal döda per 100 000 invånare1 per månad åren 2015-20232, Riket, län och kommun",,,,,,,,,,,,,,,,,,1 The calculation is based on the population at the start of each month.
4,"Number of deaths per 100 000 inhabitants1 per month, 2015-20232, Country, county and municipal level",,,,,,,,,,,,,,,,,,  The calculation is standardised to ensure comparison between months of different lengths.
5,,,,,,,,,,,,,,,,,,,2 Statistics for 2023 are preliminary.
6,,,,,,,,,,,,,,,,,,,
7,Region,Månad / Month,År / Year,,,,,,,,,,,,,,,,
123, Nacka,juli,50.9,45.1,53.1,62.3,48.1,30.2,45.0,49.8,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
124, Nacka,augusti,54.8,58.8,54.9,51.8,43.3,47.5,42.2,54.2,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
125, Nacka,september,50.4,50.6,63.6,45.7,40.9,47.1,39.9,49.5,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
126, Nacka,oktober,53.6,52.8,49.9,56.3,63.5,44.7,60.2,51.4,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
127, Nacka,november,44,58.5,53.5,44.5,47.5,68.7,54.7,43.0,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
128, Nacka,december,53.3,48.8,42.1,50.5,53.3,77.3,56.4,77.9,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
129, Norrtälje,januari,110.9,113.8,135.2,119.4,100.3,105.1,110.9,103.1,122.5,12,,11. Döda_P_100000_30Dgr,1,,,,
130, Norrtälje,februari,100.4,91.7,100.9,107.3,91.9,90.6,95.9,130.6,81.7,12,,11. Döda_P_100000_30Dgr,2,,,,
131, Norrtälje,mars,85.6,85.7,97.5,98.4,101.7,111.0,116.8,83.6,97.3,12,,11. Döda_P_100000_30Dgr,3,,,,
132, Norrtälje,april,100.5,103.8,90.4,104.8,93.8,125.7,84.6,80.1,79.3,12,,11. Döda_P_100000_30Dgr,4,,,,
133, Norrtälje,maj,71.9,70.7,88.9,79.1,95.3,95.3,90.8,65.5,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
134, Norrtälje,juni,55.2,103.4,81.7,83.3,74.1,82.5,84.3,67.6,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
135, Norrtälje,juli,109.8,106.4,72.4,91.5,74.7,75.0,94.9,83.0,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
136, Norrtälje,augusti,74.7,89.9,65.7,86.6,71.5,82.5,88.6,84.3,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
137, Norrtälje,september,90.8,84.4,84.4,81.3,75.4,93.0,94.8,90.2,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
138, Norrtälje,oktober,89.4,119.2,102.3,94.4,96.2,83.9,112.6,94.7,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
139, Norrtälje,november,95.8,101.2,90.8,99.2,105.7,121.2,85.2,100.8,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
140, Norrtälje,december,102.5,115.8,124.3,87.9,100.6,158.2,109.2,150.6,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
141, Nykvarn,januari,69,57.0,65.0,54.5,44.3,70.3,77.6,33.7,74.7,12,,11. Döda_P_100000_30Dgr,1,,,,
142, Nykvarn,februari,32.7,50.7,71.9,20.1,88.1,46.9,57.3,46.6,55.1,12,,11. Döda_P_100000_30Dgr,2,,,,
143, Nykvarn,mars,78.6,28.4,55.7,81.5,61.8,87.6,25.8,50.6,66.2,12,,11. Döda_P_100000_30Dgr,3,,,,
144, Nykvarn,april,60.8,39.1,19.2,18.7,27.3,126.6,53.4,78.2,59.7,12,,11. Döda_P_100000_30Dgr,4,,,,
145, Nykvarn,maj,58.8,75.3,37.1,54.2,8.8,34.9,60.0,41.9,0.0,12,,11. Döda_P_100000_30Dgr,5,,,,
146, Nykvarn,juni,40.3,48.6,66.8,37.3,27.3,63.1,53.0,77.6,0.0,12,,11. Döda_P_100000_30Dgr,6,,,,
147, Nykvarn,juli,19.4,75.1,55.2,44.9,26.4,60.8,42.6,8.3,0.0,12,,11. Döda_P_100000_30Dgr,7,,,,
148, Nykvarn,augusti,58.1,37.4,73.3,44.8,44.0,17.3,34.0,83.0,0.0,12,,11. Döda_P_100000_30Dgr,8,,,,
149, Nykvarn,september,59.8,48.2,37.8,37.0,45.5,17.9,17.5,17.1,0.0,12,,11. Döda_P_100000_30Dgr,9,,,,
150, Nykvarn,oktober,48.3,28.0,27.4,89.3,96.7,17.3,25.4,41.5,0.0,12,,11. Döda_P_100000_30Dgr,10,,,,
151, Nykvarn,november,89.3,77.1,47.1,46.0,72.6,44.5,43.7,68.6,0.0,12,,11. Döda_P_100000_30Dgr,11,,,,
152, Nykvarn,december,19.1,93.0,45.6,44.4,0.0,51.7,84.2,58.0,0.0,12,,11. Döda_P_100000_30Dgr,12,,,,
153, Nynäshamn,januari,103.8,66.9,90.7,89.5,78.7,64.3,127.6,78.7,77.3,12,,11. Döda_P_100000_30Dgr,1,,,,
154, Nynäshamn,februari,106.9,94.0,80.9,61.0,90.8,75.9,70.6,86.9,85.5,12,,11. Döda_P_100000_30Dgr,2,,,,
155, Nynäshamn,mars,74.9,77.4,69.5,92.8,75.3,60.8,73.9,88.3,99.7,12,,11. Döda_P_100000_30Dgr,3,,,,
